(*iter)->filename  	  (*iter)->n  	  (*iter)->m  	(*iter)->opt_obj_given  	  (*iter)->opt_obj_real  	  opt_best_map.at((*iter)->filename)  	(*iter)->rand_seed  	  (*iter)->sol_info_vec.size()  	tct[0]  	  tct[1]  	  tct[2]  	obj[0]  	  obj[1]  	  obj[2]  	iteration[0]  	  iteration[1]  	  iteration[2]  	tm[0]  	  tm[1]  	  tm[2]  	cmp_give_result_cnt[0]  	  cmp_give_result_cnt[1]  	  cmp_give_result_cnt[2]  	cmp_real_result_cnt[0]  	  cmp_real_result_cnt[1]  	  cmp_real_result_cnt[2]  	hit_cnt
Ni_8_2-2_2_20	8	2	634.847100	1235.097159	634.847159	1489672996	20	1153.183265	1153.183265	1153.183265	673.327902	673.327902	673.327902	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-2_2_21	8	2	620.455100	1229.216493	620.455119	1489672997	20	1211.182825	1211.182825	1211.182825	752.261273	752.261273	752.261273	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-2_2_22	8	2	676.902500	1345.836424	676.902481	1489672998	20	1341.836465	1341.836465	1341.836465	721.270521	721.270521	721.270521	0.000000	0.000000	0.000000	0.000000	0.150000	1.000000	0	0	20	0	0	20	0
Ni_8_2-2_2_23	8	2	539.160000	1070.365635	539.159980	1489672999	20	1054.458436	1054.458436	1054.458436	697.321091	697.321091	697.321091	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-2_2_24	8	2	624.872600	1247.626983	624.872615	1489673000	20	1228.151469	1228.151469	1228.151469	627.306994	627.306994	627.306994	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	0	20	0	0	20	0
Ni_8_2-2_2_25	8	2	663.175500	1315.575783	663.175539	1489673001	20	1310.309283	1310.309283	1310.309283	707.829748	707.829748	707.829748	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_3-1_1_1	8	3	96.721810	279.214884	96.721807	1489673002	20	249.213588	249.213588	249.213588	128.734627	128.734627	128.734627	0.000000	0.000000	0.000000	0.000000	0.100000	1.000000	0	0	20	0	0	20	0
Ni_8_3-1_1_2	8	3	110.451300	306.620149	110.451320	1489673004	20	272.332722	272.332722	272.332722	183.908252	183.908252	183.908252	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	0	20	0	0	20	0
Ni_8_3-1_1_3	8	3	70.245140	171.773000	70.245141	1489673005	20	143.690463	143.690463	143.690463	72.196458	72.196458	72.196458	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	0	20	0	0	20	0
Ni_8_3-1_1_4	8	3	29.552260	73.657637	29.552258	1489673006	20	73.657637	73.657637	73.657637	29.552258	29.552258	29.552258	0.000000	0.000000	0.000000	0.000000	0.100000	1.000000	0	20	0	0	0	20	20
